TEMP,DRUCK,SPEZ_VOL0,SPEZ_VOL1,ENTHA0,ENTHA1,ENTRO0,ENTRO1,WAERME_KAP0,WAERME_KAP1,ETA0,ETA1,LAMBDA0,LAMBDA1,SIGMA
-34,1.25E+06,9.15E-04,3.09E-02,125.1,436.37,0.71634,2.018,2.0455,1.0938,1.75E-04,1.22E-05,0.1518,0.013198,0.011718
-33.9,1.25E+06,9.16E-04,3.08E-02,125.3,436.39,0.71718,2.0174,2.0461,1.0949,1.75E-04,1.22E-05,0.15168,0.01321,0.011695
-33.8,1.25E+06,9.16E-04,3.07E-02,125.5,436.4,0.71802,2.0169,2.0468,1.096,1.75E-04,1.22E-05,0.15155,0.013221,0.011672
-33.7,1.26E+06,9.16E-04,3.06E-02,125.71,436.42,0.71886,2.0164,2.0474,1.0971,1.75E-04,1.22E-05,0.15143,0.013233,0.011649
-33.6,1.26E+06,9.17E-04,3.05E-02,125.91,436.43,0.7197,2.0159,2.0481,1.0982,1.74E-04,1.22E-05,0.1513,0.013245,0.011626
-33.5,1.27E+06,9.17E-04,3.04E-02,126.12,436.44,0.72054,2.0154,2.0487,1.0994,1.74E-04,1.23E-05,0.15118,0.013256,0.011603
-33.4,1.27E+06,9.18E-04,3.03E-02,126.33,436.45,0.72138,2.0149,2.0493,1.1005,1.74E-04,1.23E-05,0.15106,0.013268,0.01158
-33.3,1.28E+06,9.18E-04,3.02E-02,126.53,436.47,0.72222,2.0144,2.05,1.1016,1.73E-04,1.23E-05,0.15093,0.01328,0.011557
-33.2,1.28E+06,9.18E-04,3.01E-02,126.74,436.48,0.72306,2.0139,2.0507,1.1027,1.73E-04,1.23E-05,0.15081,0.013292,0.011534
-33.1,1.28E+06,9.19E-04,3.00E-02,126.94,436.49,0.7239,2.0134,2.0513,1.1039,1.73E-04,1.23E-05,0.15068,0.013303,0.011511
-33,1.29E+06,9.19E-04,2.99E-02,127.15,436.51,0.72474,2.0129,2.052,1.105,1.73E-04,1.23E-05,0.15056,0.013315,0.011488
-32.9,1.29E+06,9.19E-04,2.98E-02,127.35,436.52,0.72557,2.0124,2.0526,1.1061,1.72E-04,1.23E-05,0.15044,0.013327,0.011465
-32.8,1.30E+06,9.20E-04,2.97E-02,127.56,436.53,0.72641,2.0119,2.0533,1.1073,1.72E-04,1.23E-05,0.15031,0.013339,0.011442
-32.7,1.30E+06,9.20E-04,2.96E-02,127.76,436.54,0.72725,2.0114,2.054,1.1084,1.72E-04,1.23E-05,0.15019,0.013351,0.011419
-32.6,1.31E+06,9.20E-04,2.95E-02,127.97,436.55,0.72809,2.0109,2.0546,1.1095,1.71E-04,1.23E-05,0.15007,0.013363,0.011396
-32.5,1.31E+06,9.21E-04,2.94E-02,128.17,436.57,0.72893,2.0104,2.0553,1.1107,1.71E-04,1.23E-05,0.14994,0.013374,0.011373
-32.4,1.32E+06,9.21E-04,2.93E-02,128.38,436.58,0.72976,2.0099,2.056,1.1118,1.71E-04,1.23E-05,0.14982,0.013386,0.01135
-32.3,1.32E+06,9.21E-04,2.92E-02,128.59,436.59,0.7306,2.0094,2.0567,1.113,1.71E-04,1.23E-05,0.14969,0.013398,0.011327
-32.2,1.33E+06,9.22E-04,2.91E-02,128.79,436.6,0.73144,2.0089,2.0573,1.1142,1.70E-04,1.23E-05,0.14957,0.01341,0.011305
-32.1,1.33E+06,9.22E-04,2.90E-02,129,436.61,0.73228,2.0084,2.058,1.1153,1.70E-04,1.23E-05,0.14945,0.013422,0.011282
-32,1.33E+06,9.22E-04,2.89E-02,129.2,436.62,0.73311,2.0079,2.0587,1.1165,1.70E-04,1.23E-05,0.14932,0.013434,0.011259
-31.9,1.34E+06,9.23E-04,2.88E-02,129.41,436.64,0.73395,2.0074,2.0594,1.1177,1.69E-04,1.23E-05,0.1492,0.013446,0.011236
-31.8,1.34E+06,9.23E-04,2.87E-02,129.62,436.65,0.73479,2.0069,2.0601,1.1188,1.69E-04,1.24E-05,0.14908,0.013458,0.011213
-31.7,1.35E+06,9.23E-04,2.86E-02,129.82,436.66,0.73562,2.0064,2.0608,1.12,1.69E-04,1.24E-05,0.14895,0.013471,0.01119
-31.6,1.35E+06,9.24E-04,2.85E-02,130.03,436.67,0.73646,2.0059,2.0615,1.1212,1.69E-04,1.24E-05,0.14883,0.013483,0.011167
-31.5,1.36E+06,9.24E-04,2.84E-02,130.23,436.68,0.7373,2.0054,2.0622,1.1224,1.68E-04,1.24E-05,0.14871,0.013495,0.011145
-31.4,1.36E+06,9.25E-04,2.83E-02,130.44,436.69,0.73813,2.0049,2.0629,1.1236,1.68E-04,1.24E-05,0.14858,0.013507,0.011122
-31.3,1.37E+06,9.25E-04,2.82E-02,130.65,436.7,0.73897,2.0044,2.0636,1.1248,1.68E-04,1.24E-05,0.14846,0.013519,0.011099
-31.2,1.37E+06,9.25E-04,2.81E-02,130.85,436.71,0.7398,2.0039,2.0643,1.1259,1.67E-04,1.24E-05,0.14834,0.013531,0.011076
-31.1,1.38E+06,9.26E-04,2.80E-02,131.06,436.72,0.74064,2.0034,2.065,1.1271,1.67E-04,1.24E-05,0.14821,0.013544,0.011053
-31,1.38E+06,9.26E-04,2.79E-02,131.27,436.73,0.74148,2.0029,2.0657,1.1283,1.67E-04,1.24E-05,0.14809,0.013556,0.01103
-30.9,1.39E+06,9.26E-04,2.78E-02,131.47,436.74,0.74231,2.0024,2.0665,1.1296,1.67E-04,1.24E-05,0.14797,0.013568,0.011008
